date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:47	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2028%20Apr%202022%2014:40:47%20GMT	https://zonapruebas68.tk/robots.txt		(from )
10:40:48	158777/158777	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2014:40:47%20GMT	https://zonapruebas68.tk/landing-arriendo/	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/landing-arriendo/index.html	(from )
10:40:48	37431/37431	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Mar%202022%2021:02:25%20GMT	https://zonapruebas68.tk/wp-content/uploads/2022/03/logo-web.png	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/uploads/2022/03/logo-web.png	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:49	83419/83419	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2020:45:25%20GMT	https://zonapruebas68.tk/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-includes/css/dist/block-library/style.min7404.css	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:49	2731/2731	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Mar%202022%2021:34:23%20GMT	https://zonapruebas68.tk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:49	57778/57778	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202022%2021:16:36%20GMT	https://zonapruebas68.tk/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap.css?ver=1.8.3	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap4511.css	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:49	30999/30999	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2022:13:45%20GMT	https://zonapruebas68.tk/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:49	71292/71292	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202022%2021:16:36%20GMT	https://zonapruebas68.tk/wp-content/plugins/ht-mega-for-elementor/assets/css/animation.css?ver=1.8.3	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/plugins/ht-mega-for-elementor/assets/css/animation4511.css	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:50	4730/4730	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202022%2021:16:36%20GMT	https://zonapruebas68.tk/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes.css?ver=1.8.3	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes4511.css	(from https://zonapruebas68.tk/landing-arriendo/)
10:40:50	29198/29198	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Feb%202022%2018:04:58%20GMT	https://zonapruebas68.tk/wp-content/themes/popularfx/style.css?ver=1.2.3	C:/My%20Web%20Sites/Landing1/zonapruebas68.tk/wp-content/themes/popularfx/style9632.css	(from https://zonapruebas68.tk/landing-arriendo/)
